{'emp_no': 10001, 'name': 'Georgi Facello', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 107849, 'name': 'Hitofumi Sundgren', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 107859, 'name': 'Ebru Schlegelmilch', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 107870, 'name': 'Rance Uhrig', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 107878, 'name': 'Siamak Bahr', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 107886, 'name': 'Remmert Docker', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 107895, 'name': 'Toshimitsu Pappas', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 107905, 'name': 'Xudong Alpin', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 107915, 'name': 'Shigeichiro Tsukune', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 107924, 'name': 'Achilleas Georgakopoulos', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 107933, 'name': 'Weiye Oaver', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 107942, 'name': 'Shen Coorg', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 107951, 'name': 'Chirstian Miyakawa', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 107961, 'name': 'Rutger Douceur', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 107970, 'name': 'Ziva Keustermans', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 107978, 'name': 'Chriss Bergere', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 107986, 'name': 'Hidde Lodder', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 107995, 'name': 'Rosita Collavizza', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 108005, 'name': 'Owen Eiron', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108016, 'name': 'Xinyu Capobianchi', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108024, 'name': 'Tayeb Harbusch', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108034, 'name': 'Bernd Senzako', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108044, 'name': 'Kersti Baig', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 108054, 'name': 'Jenwei Pagter', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108065, 'name': 'Jingling Ratzlaff', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108075, 'name': 'Geraldo Nittel', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 108085, 'name': 'Khun Molenkamp', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 108095, 'name': 'Shigehiro Pramanik', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108105, 'name': 'Chaitali Rikino', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 108116, 'name': 'Danil Xiaoshan', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108126, 'name': 'Izaskun Shackell', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108137, 'name': 'Panayotis Ermel', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108147, 'name': 'Masoud Leppanen', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108156, 'name': 'Miquel Lally', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108164, 'name': 'Kerryn Bergere', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108172, 'name': 'Alois Angelopoulos', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108181, 'name': 'Ulises Passino', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108190, 'name': 'Subhrajyoti Edelhoff', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108199, 'name': 'Dekang Pluym', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108209, 'name': 'Shaunak Auyong', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108217, 'name': 'Mohan Munoz', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108225, 'name': 'Baocai Kaminger', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108233, 'name': 'Gladys Wilfing', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108244, 'name': 'Torsten Savasere', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108253, 'name': 'Tristan Raczkowsky', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108262, 'name': 'Yannis Alpay', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108271, 'name': 'Prodip Snyers', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108281, 'name': 'Piyawadee Cardazo', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108292, 'name': 'Zsolt Cardazo', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108303, 'name': 'Caolyn Hebert', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108312, 'name': 'Utz Schneeberger', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108320, 'name': 'Seongbin Maquelin', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108330, 'name': 'JoAnne Jiafu', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108340, 'name': 'Shooichi Lorho', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108350, 'name': 'Zejun Anguita', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108359, 'name': 'Jessie Hoppenstand', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108370, 'name': 'Hisao Gilg', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108381, 'name': 'Shaz Quadeer', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108392, 'name': 'Gal Makrucki', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108402, 'name': 'Hisao Lindenbaum', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108412, 'name': 'Izaskun Ertl', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 108421, 'name': 'Shmuel Gecsel', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108429, 'name': 'Pradeep Mitzlaff', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108440, 'name': 'Xiaoqiang Conta', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 108450, 'name': 'Tokuyasu Reeken', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108458, 'name': 'Shakhar Noriega', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108466, 'name': 'Xuejun Middleton', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108477, 'name': 'Fox Heering', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 108486, 'name': 'Shigehito Ullian', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108494, 'name': 'Hongzue Shiratori', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108504, 'name': 'Mads Besancenot', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108514, 'name': 'Kitty Baby', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108523, 'name': 'Hongzhu Lorho', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108532, 'name': 'Arvind Luft', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 108542, 'name': 'Jaihie Socorro', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108550, 'name': 'Piyawadee Vesna', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108559, 'name': 'Susanta Birke', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108570, 'name': 'Fumitaka Bala', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108578, 'name': 'Heeju Wendorf', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108588, 'name': 'Shahaf Coney', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108597, 'name': 'Kazuhira Einsfeld', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108608, 'name': 'Taiji Lorch', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108618, 'name': 'Nathan Birnbaum', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108628, 'name': 'Filipp Aloisi', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108639, 'name': 'Stevo Stranks', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 108649, 'name': 'Xuedong Reinhart', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108659, 'name': 'Nidapan Ashish', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108669, 'name': 'Jeanne Garnham', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108677, 'name': 'Demin Goodrum', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108688, 'name': 'Janche Schiper', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108698, 'name': 'Fuqing Viele', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108707, 'name': 'Berry Holburn', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108716, 'name': 'Adas Leivant', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108725, 'name': 'Thanasis Picaronny', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108734, 'name': 'Jahangir Kemmerer', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108742, 'name': 'Dinah Emmerich', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108751, 'name': 'Alassane Boissier', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108760, 'name': 'Saeko Demir', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108769, 'name': 'Brewster Ozeki', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108780, 'name': 'Gregory Dichev', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108790, 'name': 'Leaf Fetvedt', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108801, 'name': 'Supot Landherr', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108810, 'name': 'Ghassan Gecsei', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 108818, 'name': 'Stevo Lund', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108828, 'name': 'Arup Denti', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108837, 'name': 'Stein Veccia', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108848, 'name': 'Adly Terwilliger', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108857, 'name': 'Dipayan Trogemann', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108868, 'name': 'Demin Glinert', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108877, 'name': 'Gopalakrishnan McDermid', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108885, 'name': 'Gadiel Mitina', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 108894, 'name': 'Danny Schneeberger', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108904, 'name': 'Lobel Munck', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 108915, 'name': 'Candido Kalefeld', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108926, 'name': 'Yinghua Luga', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108936, 'name': 'Tooru Sundgren', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 108945, 'name': 'Baruch Dolinsky', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108953, 'name': 'Pranav Mellouli', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108962, 'name': 'Przemyslawa Rajcani', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 108970, 'name': 'Bedrich Callaway', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108979, 'name': 'Kendra Mitchem', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 108989, 'name': 'Fay Joslin', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 108999, 'name': 'Bikash Polajnar', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109008, 'name': 'Abdulah Parascandalo', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109017, 'name': 'Valeska Danecki', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109027, 'name': 'Gift Molenkamp', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109036, 'name': 'Cullen Usery', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109047, 'name': 'Aiichiro Coors', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 109056, 'name': 'Abdelkader Muhling', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109066, 'name': 'Margo Zweizig', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109077, 'name': 'Xudong Luef', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109088, 'name': 'Giap Schaar', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109098, 'name': 'Koldo Bale', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109108, 'name': 'Goncalo Besselaar', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109118, 'name': 'Masako Fadgyas', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109128, 'name': 'Sreekrishna Slobodova', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109137, 'name': 'Youssef Stifter', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109148, 'name': 'Takahira Anguita', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109159, 'name': 'Zito Oxenboll', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109170, 'name': 'Nahum Schaft', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109181, 'name': 'Rildo Lally', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 109192, 'name': 'Baruch Barbanera', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 109203, 'name': 'Eishiro Munro', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109211, 'name': 'Gor Delgrande', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109220, 'name': 'Sachio Assaf', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109230, 'name': 'Weijing Jeansoulin', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109240, 'name': 'Shigeo Motley', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109248, 'name': 'Sudharsan Silva', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109257, 'name': 'Zengping Nanard', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109266, 'name': 'Jacopo Quaggetto', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109277, 'name': 'Baoqiu Melton', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109286, 'name': 'Ennio Sluis', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109295, 'name': 'Magy Waterhouse', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109306, 'name': 'Isaac Pietrzykowski', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109314, 'name': 'Xiaoheng Merkl', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 109323, 'name': 'Shuho Gomatam', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109332, 'name': 'Miquel Olivero', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109341, 'name': 'Jungsoon Kolvik', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109352, 'name': 'Seongbae Juneja', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109363, 'name': 'Gian Chleq', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109372, 'name': 'Demos Besancenot', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109382, 'name': 'Gurbir Driscoll', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109391, 'name': 'Iara Benantar', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109399, 'name': 'Spyrose Baek', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109408, 'name': 'Kazuhiko Middleton', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109417, 'name': 'Kamran Radhakrishnan', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109428, 'name': 'Chrisa Koyama', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109437, 'name': 'Douadi Potthoff', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109447, 'name': 'Cedric Swan', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109457, 'name': 'Stevo Rosiles', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 109468, 'name': 'Nalini Kossowski', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109478, 'name': 'Jackson Leivant', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109486, 'name': 'Zhilian Ranst', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109496, 'name': 'Mariusz Esposito', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109504, 'name': 'Shai Sewelson', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109513, 'name': 'Shimshon Erol', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109523, 'name': 'Peternela Erde', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109533, 'name': 'Subhash Isaac', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109541, 'name': 'Kristinn Capobianchi', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109550, 'name': 'Valter Irland', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109559, 'name': 'Dekang Serre', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 109568, 'name': 'Mingsen Mitina', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109577, 'name': 'Mart Journel', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109585, 'name': 'Mona Fujisaki', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 109595, 'name': 'Uta Lores', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109603, 'name': 'Genta Chleq', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109613, 'name': 'Radhia Emiris', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109622, 'name': 'Golgen Raoux', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109631, 'name': 'Amstein England', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109640, 'name': 'Spyrose Khasidashvili', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109651, 'name': 'Henk Velasco', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109662, 'name': 'Kannan Peltason', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109673, 'name': 'Gian Mapelli', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109683, 'name': 'Piyush Hegner', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109693, 'name': 'Tamiya Gladwell', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 109702, 'name': 'Jaihie Maraist', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 109711, 'name': 'Lidong Tomescu', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 109720, 'name': 'Radoslaw Ghemri', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109729, 'name': 'Sorina DiGiano', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109737, 'name': 'Leaf Bazzichi', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109747, 'name': 'Tadahiko Rullman', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109755, 'name': 'Tsuneo Ulupinar', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109764, 'name': 'Hongzhu Decaestecker', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109774, 'name': 'Shietung Covnot', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109784, 'name': 'Arie Streng', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109793, 'name': 'Zhanqiu Oppitz', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109801, 'name': 'Janalee Sluis', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109810, 'name': 'Marsha Parhami', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109819, 'name': 'Tadanori Anily', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109829, 'name': 'Horward Beznosov', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109840, 'name': 'Aria Narahara', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109849, 'name': 'Arunachalam Grabner', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109857, 'name': 'Chinhyun Clouatre', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 109866, 'name': 'Seongbin Sgarro', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109877, 'name': 'Shigehiro Anido', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109885, 'name': 'Mooi Sessa', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109895, 'name': 'Georgi McClure', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109905, 'name': 'Angus Malabarba', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109915, 'name': 'Abdelghani Cannane', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109925, 'name': 'Zhonghua Khamsi', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 109936, 'name': 'Shem Serov', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 109946, 'name': 'Zhensheng Birnbaum', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109956, 'name': 'Karsten Ghelli', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109965, 'name': 'Wilmer Heping', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109975, 'name': 'Guenter Marzano', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 109986, 'name': 'Ohad Veeraraghavan', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 109996, 'name': 'Dines Gelosh', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 200008, 'name': 'Zeydy Hutter', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 200018, 'name': 'Adit Butner', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 200026, 'name': 'Denis Varman', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200035, 'name': 'Yifei Begiun', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 200045, 'name': 'Salvador Montresor', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 200056, 'name': 'Adam Eiron', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 200067, 'name': 'Kerhong Narahara', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200076, 'name': 'Rafail Flanders', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200086, 'name': 'Aran Salverda', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 200095, 'name': 'Isamu Kobuchi', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 200104, 'name': 'Kiyotoshi Bultermann', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 200113, 'name': 'Oguz Socorro', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200123, 'name': 'Kristian Desikan', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200133, 'name': 'Serif Schlegelmilch', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 200142, 'name': 'Christoph Uehara', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 200151, 'name': 'Guangming Verhoeff', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200159, 'name': 'Deborah Zaiane', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 200167, 'name': 'Krassimir Swist', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 200175, 'name': 'Oscal Mayerwieser', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200185, 'name': 'Fay Standera', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 200196, 'name': 'Xuejia Akazan', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200205, 'name': 'Shugo Henders', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 200214, 'name': 'Fusako DeMori', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200225, 'name': 'Gay Stiles', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 200235, 'name': 'Adit Quittner', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200244, 'name': 'Danil Miake', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 200253, 'name': 'Zorica Gyimothy', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 200264, 'name': 'Barna Cusworth', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200273, 'name': 'Basil Manders', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 200284, 'name': 'Shaunak Apsitis', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 200294, 'name': 'Serge Peha', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 200303, 'name': 'Sangeeta Quittner', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200312, 'name': 'Akemi Fujisaki', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200322, 'name': 'Kazuhito Terlouw', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 200330, 'name': 'Miomir Riesenhuber', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200338, 'name': 'Lalit Bhattacharjee', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200347, 'name': 'Mikhail Ritzmann', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 200356, 'name': 'Kitty Chaudhury', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 200366, 'name': 'Lijie Niizuma', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200376, 'name': 'Chaitali Strehl', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 200385, 'name': 'Adamantios Rissanen', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200393, 'name': 'Bluma Oberman', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200401, 'name': 'Hailing Sudkamp', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 200411, 'name': 'Jaewon Yurek', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 200420, 'name': 'Byong Schapire', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 200429, 'name': 'Irene Benner', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 200438, 'name': 'Janche Hedayat', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 200448, 'name': 'Barton Koblitz', 'dept_no': 'd005', 'manager_no': 110567}
